,Date,Day,Treatment,Tank,Sample,P_(dbars),TA_(mmol/kgSW),TCO2_in_(mmol/kgSW),fCO2_in_(matm),pCO2_in_(matm),HCO3_in_(mmol/kgSW),CO3_in_(mmol/kgSW),CO2_in_(mmol/kgSW),B_Alk_in_(mmol/kgSW),OH_in_(mmol/kgSW),P_Alk_in_(mmol/kgSW),Si_Alk_in_(mmol/kgSW),Revelle_in,ca_in,ar_in,Mean_arag_sat,Time,mean_pHT,sd_pHT,min_pHT,max_pHT,mean_Salinity,sd_Salinity,min_Salinity,max_Salinity,mean_Temperature,sd_Temperature,min_Temperature,max_Temperature,sd_Oxygen,min_Oxygen,max_Oxygen,mean_Oxygen,mean_Oxygen_mgL,sd_Oxygen_mgL,min_Oxygen_mgL,max_Oxygen_mgL
1,07.03.2023,17,Control,1,1,0,2283.733333,2121.271729,394.5504456,396.1176453,1981.597233,120.9751745,18.69942626,58.92694264,1.267964531,0,0,13.50283552,2.901802644,1.835992539,1.674951516,0,7.92,NA,7.92,7.92,34.02,NA,34.02,34.02,8.1,NA,8.1,8.1,NA,102.5,102.5,102.5,9.7,NA,9.7,9.7
2,07.03.2023,17,Control,2,2,0,2282.1,2149.506592,486.3419495,488.2712402,2023.039865,103.5438519,22.92304748,50.91696489,1.066549369,0,0,14.67868928,2.478513425,1.569440143,NA,0,7.921914055,NA,7.921914055,7.921914055,34.4,NA,34.4,34.4,7.9,NA,7.9,7.9,NA,103.8,103.8,103.8,9.84,NA,9.84,9.84
3,07.03.2023,17,Control,3,3,0,2285.533333,2147.230469,469.3410645,471.2029114,2018.258386,106.8542204,22.11787761,52.47424709,1.102969954,0,0,14.44627903,2.557311263,1.619421867,NA,0,7.95,NA,7.95,7.95,34.19,NA,34.19,34.19,7.7,NA,7.7,7.7,NA,104,104,104,9.94,NA,9.94,9.94
4,04.04.2023,45,Control,1,85,0,2280.333333,2133.595459,436.1940613,437.9335022,2001.460326,111.3148982,20.82039102,55.12558201,1.127662501,0,0,14.08193931,2.661925269,1.685130343,1.743505318,1,8.018166667,0.094823505,7.77,8.23,34.10916667,0.3807766,33.05,35.35,8.576666667,0.807248238,7.5,10.8,3.802964574,93.6,110.6,102.5983333,9.620333333,0.324057782,8.77,10.38
5,04.04.2023,45,Control,2,86,0,2283.733333,2126.801514,405.9376221,407.5585327,1989.997214,117.3454843,19.45890792,57.86520925,1.189360468,0,0,13.69967958,2.808477889,1.777214565,NA,1,8.029342095,0.116767749,7.640964215,8.261344065,34.10183333,0.143556422,33.73,34.34,8.473333333,0.802932478,7.5,10.9,3.682352171,95.2,112.5,102.9166667,9.6635,0.321605216,8.87,10.57
6,04.04.2023,45,Control,3,87,0,2292.5,2137.170898,414.065155,415.7163696,2000.673148,116.7117472,19.7860146,57.22825657,1.184754668,0,0,13.79204288,2.794022471,1.768171046,NA,1,8.03557377,0.110174477,7.66,8.23,34.09721311,0.144984265,33.74,34.41,8.436065574,0.759173407,7.5,10.6,4.014948162,94.5,112,103.795082,9.770819672,0.326288702,8.92,10.55
7,04.05.2023,75,Control,1,169,0,2281,2068.276123,303.3200989,304.513916,1902.966622,151.3065192,14.0028838,73.70677607,1.720767519,0,0,11.76847413,3.620038994,2.294634692,2.293966459,2,8.188125,0.117677457,7.95,8.38,33.7540625,0.337293396,32.49,34.23,10.31875,0.841825014,8.5,11.6,2.680332716,94.3,105.2,99.896875,9.0525,0.212314435,8.61,9.44
8,04.05.2023,75,Control,2,170,0,2273.9,2059.371582,297.6242676,298.7956848,1893.326032,152.2970275,13.74869594,74.24459413,1.742481598,0,0,11.69832258,3.646073896,2.310689996,NA,2,8.177079574,0.151727425,7.886440771,8.449161101,33.8309375,0.426117956,31.66,34.2,10.178125,0.816259911,8.9,12,3.273733133,95.2,109.6,100.759375,9.13125,0.251341562,8.68,9.57
9,04.05.2023,75,Control,3,171,0,2276.5,2065.788818,304.6537476,305.8528137,1901.677384,150.0363865,14.07505185,73.04779353,1.709369193,0,0,11.81907273,3.592370792,2.27657469,NA,2,8.1975,0.138284419,7.9,8.44,33.8975,0.218144669,33.08,34.22,9.9125,0.66320337,8.8,11.5,3.884261824,90.8,110.2,101.165625,9.23375,0.246010097,8.79,9.73
10,30.05.2023,101,Control,1,253,0,2265.702897,1953.829834,198.5309448,199.2834625,1729.69503,215.7754351,8.359337689,101.20809,3.254080105,0,0,9.503997175,5.182296326,3.297238522,3.443585647,3,8.139444444,0.128462211,7.58,8.4,33.69944444,0.554508505,32.78,34.98,10.69416667,0.859482818,8.7,12.3,2.541183014,94.3,105.7,98.56944444,8.946944444,0.304357116,8.37,9.62
11,30.05.2023,101,Control,2,254,0,2268.955332,1923.553833,172.4337311,173.0848083,1678.629847,237.7373475,7.186718746,111.0954687,3.75992352,0,0,8.999662487,5.706603354,3.633551076,NA,3,8.115845151,0.11661387,7.54490076,8.300798502,34.03027778,0.562059916,31.06,34.79,10.34722222,0.860393967,8.3,11.6,2.456023935,91.2,102.9,98.50416667,8.913333333,0.283548938,8.28,9.44
12,30.05.2023,101,Control,3,255,0,2275.266667,1952.696777,186.4402313,187.1515045,1721.948895,222.7723806,7.975570822,104.5070963,3.270795781,0,0,9.359697998,5.347993994,3.399967342,NA,3,8.151666667,0.128541266,7.53,8.38,34.08694444,0.255206577,33.56,35.12,10.09722222,0.820273861,8.1,11.6,2.398921715,90.5,102.7,98.39444444,8.8975,0.296815238,8.12,9.49
13,27.06.2023,129,Control,1,337,0,2266.033333,2129.793213,512.0307617,514.0018921,2001.136002,106.2592151,22.39796092,51.10632164,1.284353765,0,0,14.4280505,2.549251843,1.618988592,1.62967583,4,8.152258065,0.113908496,7.61,8.39,34.00290323,0.598896217,32.75,37.33,9.709677419,0.54703663,8.3,11.3,3.158004193,92.6,107.2,98.15645161,8.991451613,0.347717837,8.36,9.89
14,27.06.2023,129,Control,2,338,0,2257.166667,2121.241699,517.1752319,519.1585693,1992.909467,105.9384549,22.39373964,51.08263935,1.309343232,0,0,14.39737587,2.540679338,1.6145713,NA,4,8.084155512,0.116320878,7.496500207,8.381052143,33.98112903,0.390586381,32.86,34.48,9.840322581,0.60880417,8.4,11.6,3.568589466,91.6,106.4,98.13709677,8.954516129,0.376291993,8.25,9.78
