"","Treatment","Time_Period","Date","Day","pHT","pH","Salinity","Temperature","Oxygen_mgL","Oxygen_per","Tank"
"1","Multi_HF",0,2023-02-27,9,8.01042931421412,8.04,34.46,7.7,9.97,104.5,"Tank4"
"2","Multi_HF",1,2023-02-28,10,8.01071082908891,8.04,34.48,7.8,9.8,103.1,"Tank4"
"3","Multi_HF",1,2023-03-01,11,7.92142612799226,7.94,34.28,8.1,10.11,106.7,"Tank4"
"4","Multi_HF",1,2023-03-02,12,8.01129876758624,8.1,34.12,8.8,9.74,104.5,"Tank4"
"5","Multi_HF",1,2023-03-03,13,7.89529733271204,7.97,34.11,9.2,9.71,105.1,"Tank4"
"6","Multi_HF",1,2022-03-04,14,7.71381161564428,7.81,34.2,10.3,9.61,106.8,"Tank4"
"7","Multi_HF",1,2023-03-05,15,7.69734635176379,7.8,34.41,10.4,9.38,104.5,"Tank4"
"8","Multi_HF",1,2023-03-06,16,7.62327084672141,7.74,34.36,10.9,9.22,103.8,"Tank4"
"9","Multi_HF",1,2023-03-07,17,7.52073482831833,7.64,34.34,10.7,8.44,94.6,"Tank4"
"10","Multi_HF",1,2023-03-08,18,7.6219791464349,7.74,34.51,10.6,8.19,91.6,"Tank4"
"11","Multi_HF",1,2023-03-09,19,7.60810686185422,7.69,34.94,10.5,9.11,101.7,"Tank4"
"12","Multi_HF",1,2023-03-10,20,7.72399557455741,7.79,34.28,10.3,9.61,106.6,"Tank4"
"13","Multi_HF",1,2023-03-13,23,7.73658787952242,7.8,34.22,10.6,8.87,99.1,"Tank4"
"14","Multi_HF",1,2023-03-14,24,7.65435672622388,7.73,33.88,10.6,7.97,89,"Tank4"
"15","Multi_HF",1,2023-03-15,25,7.3750144295364,7.48,34.17,10.1,8.35,92.3,"Tank4"
"16","Multi_HF",1,2023-03-16,26,7.68842542184389,7.75,33.84,10.4,9.19,102,"Tank4"
"17","Multi_HF",1,2023-03-17,27,7.752196085682,7.81,34.15,10.7,7.04,78.8,"Tank4"
"18","Multi_HF",1,2023-03-20,30,7.57634411515769,7.65,33.91,10.8,7.36,82.3,"Tank4"
"19","Multi_HF",1,2023-03-21,31,7.68727438822966,7.75,34,10.6,7.44,83.1,"Tank4"
"20","Multi_HF",1,2023-03-22,32,7.55249402796533,7.62,34.09,10.6,6.16,68.6,"Tank4"
"21","Multi_HF",1,2023-03-23,33,7.79118077089996,7.85,34.2,10.4,9.32,103.8,"Tank4"
"22","Multi_HF",1,2023-03-24,34,7.66666315315005,7.73,34.23,11,9.3,105,"Tank4"
"23","Multi_HF",1,2023-03-27,37,7.96071447664469,8.02,34.07,10.5,9.85,109.8,"Tank4"
"24","Multi_HF",1,2023-03-28,38,6.92744805258364,7.05,34.23,10.4,9.34,104.2,"Tank4"
"25","Multi_HF",1,2023-03-29,39,7.62809564559899,7.7,34.23,10.3,8.4,93.4,"Tank4"
"26","Multi_HF",1,2023-03-30,40,7.54800123451547,7.63,34.04,10.4,8.23,91.7,"Tank4"
"27","Multi_HF",1,2023-03-31,41,7.80918615533963,7.87,33.71,10.3,8.31,92.1,"Tank4"
"28","Multi_HF",1,2023-04-03,44,7.2594803660619,7.36,33.85,10.8,7.56,84.6,"Tank4"
"29","Multi_HF",1,2023-04-04,45,7.85423987093835,7.91,34.09,10.1,8.18,90.3,"Tank4"
"30","Multi_HF",1,2023-04-05,46,7.71182408284082,7.77,33.95,11.2,6.74,76.2,"Tank4"
"31","Multi_HF",1,2023-04-06,47,7.87626309497481,7.94,34.31,10.7,7.49,84.2,"Tank4"
"32","Multi_HF",1,2023-04-07,48,7.51853380043991,7.62,33.93,10.7,7.99,89.4,"Tank4"
"33","Multi_HF",1,2023-04-10,51,7.69496512102827,7.77,34.09,10.8,7.86,88.1,"Tank4"
"34","Multi_HF",1,2023-04-11,52,7.70197202651295,7.78,34.15,10.3,8.46,94,"Tank4"
"35","Multi_HF",1,2023-04-12,53,7.82619064590639,7.52,34.07,10.5,9.63,107.3,"Tank4"
"36","Multi_HF",1,2023-04-13,54,7.6290021964265,7.7,34.08,10.3,8.82,98.1,"Tank4"
"37","Multi_HF",1,2023-04-14,55,7.66105859974243,7.74,33.62,10.4,7.71,85.1,"Tank4"
"38","Multi_HF",1,2023-04-17,58,7.80379045255432,7.87,34.12,11.3,8.22,93.2,"Tank4"
"39","Multi_HF",1,2023-04-18,59,7.65103570813426,7.73,33.94,11,9.41,105.8,"Tank4"
"40","Multi_HF",1,2023-04-19,60,7.92159186119384,7.98,34.22,11.3,6.5,74,"Tank4"
"41","Multi_HF",1,2023-04-20,61,7.7489416862683,7.81,34.2,11.2,9.82,111.2,"Tank4"
"42","Multi_HF",1,2023-04-21,62,7.67458875887015,7.74,33.96,11.2,6.59,74.5,"Tank4"
