"","Treatment","Time_Period","Date","Day","pHT","pH","Salinity","Temperature","Oxygen_mgL","Oxygen_per","Tank"
"1","pH1",0,2023-02-27,9,7.98361625373617,8.02,34.34,7.9,9.8,103.2,"Tank10"
"2","pH1",1,2023-02-28,10,7.95168266295037,7.97,34.34,8.6,9.61,103.1,"Tank10"
"3","pH1",1,2023-03-01,11,7.87781968560616,7.91,34.1,8.6,9.69,103.6,"Tank10"
"4","pH1",1,2023-03-02,12,7.99015316621781,8.06,34.12,8.8,9.59,103,"Tank10"
"5","pH1",1,2023-03-03,13,7.99127868278195,8.06,34.07,8.1,9.8,103.6,"Tank10"
"6","pH1",1,2022-03-04,14,7.81564454473374,7.9,34.1,8.1,9.82,103.8,"Tank10"
"7","pH1",1,2023-03-05,15,7.76534606721834,7.86,34.14,9.4,9.25,101.1,"Tank10"
"8","pH1",1,2023-03-06,16,7.66219422022691,7.78,34.22,8.8,9.33,100.3,"Tank10"
"9","pH1",1,2023-03-07,17,7.6709819278518,7.79,34.45,8.6,9.39,98.7,"Tank10"
"10","pH1",1,2023-03-08,18,7.77245998111366,7.87,34.22,8.2,9.31,98.8,"Tank10"
"11","pH1",1,2023-03-09,19,7.7535569865514,7.82,34.26,9,8.88,95.8,"Tank10"
"12","pH1",1,2023-03-10,20,7.76522178603493,7.83,34.09,8.1,9.52,100.7,"Tank10"
"13","pH1",1,2023-03-13,23,7.98958897181558,8.05,34.19,8.5,8.96,95.8,"Tank10"
"14","pH1",1,2023-03-14,24,7.73835852575453,7.81,34.07,8.1,9.49,100.2,"Tank10"
"15","pH1",1,2023-03-15,25,7.67125195713045,7.75,34.03,8.6,9.41,100.7,"Tank10"
"16","pH1",1,2023-03-16,26,7.63638108151212,7.71,34.14,7.7,9.5,99.4,"Tank10"
"17","pH1",1,2023-03-17,27,7.66218885564778,7.73,34.33,8.2,9.54,101.2,"Tank10"
"18","pH1",1,2023-03-20,30,7.45673628335997,7.54,33.84,7.9,9.7,101.7,"Tank10"
"19","pH1",1,2023-03-21,31,7.74441291973506,7.8,34.06,8.8,9.41,101.1,"Tank10"
"20","pH1",1,2023-03-22,32,7.62835153092731,7.69,34.14,8.2,9.37,99.1,"Tank10"
"21","pH1",1,2023-03-23,33,7.84175140774562,7.9,34.15,8,9.56,100.8,"Tank10"
"22","pH1",1,2023-03-24,34,7.59848639403272,7.67,34.14,8.1,9.67,102.1,"Tank10"
"23","pH1",1,2023-03-27,37,7.77336606877816,7.84,34.03,8.5,9.74,104,"Tank10"
